Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1464818247.7496748,0.0,0.0,0.0,0.0,0.0,0.0
1464818247.8026445,0.0,0.0,0.0,0.0,0.0,0.0
1464818247.8530607,0.0022000061023049085,0.0,0.0,0.0,0.0,0.0
1464818247.905351,0.0,0.0,0.0,0.0,0.0,0.0
1464818247.9497764,0.0,0.0,0.0,0.0,0.0,0.0
1464818248.002829,0.0,0.0,0.0,0.0,0.0,0.0
1464818248.0524366,0.0,0.0,0.0,0.0,0.0,0.0
1464818248.1049926,0.0,0.0,0.0,0.0,0.0,0.0
1464818248.1498415,0.0,0.0,0.0,0.0,0.0,0.0
1464818248.202828,0.0,0.0,0.0,0.0,0.0,0.0
1464818248.252935,0.0,0.0,0.0,0.0,0.0,0.0
1464818248.3050957,0.0,0.0,0.0,0.0,0.0,0.0
1464818248.3496943,0.0022000061023049085,0.0,0.0,0.0,0.0,0.0
1464818248.4027658,0.0,0.0,0.0,0.0,0.0,0.0
1464818248.4528313,0.0,0.0,0.0,0.0,0.0,0.0
1464818248.5057201,0.0,0.0,0.0,0.0,0.0,0.0
1464818248.5497117,0.008799993892572818,0.0,0.0,0.0,0.0,0.0
1464818248.6027074,0.0,0.0,0.0,0.0,0.0,0.0
1464818248.6525497,0.0,0.0,0.0,0.0,0.0,0.0
1464818248.7050476,0.0,0.0,0.0,0.0,0.0,0.0
1464818248.7497022,0.008799993892572818,0.0,0.0,0.0,0.0,0.0
1464818248.8026361,0.0022000061023049085,0.0,0.0,0.0,0.0,0.0
1464818248.8528192,0.0,0.0,0.0,0.0,0.0,0.0
1464818248.9051244,0.004400012204609817,0.0,0.0,0.0,0.0,0.0
1464818248.9495902,0.0,0.0,0.0,0.0,0.0,0.0
1464818249.0032322,0.0,0.0,0.0,0.0,0.0,0.0
1464818249.0526865,0.0,0.0,0.0,0.0,0.0,0.0
1464818249.1052434,0.0022000061023049085,0.0,0.0,0.0,0.0,0.0
1464818249.1497517,0.0,0.0,0.0,0.0,0.0,0.0
1464818249.2027488,0.0,0.0,0.0,0.0,0.0,0.0
1464818249.2525916,0.0,0.0,0.0,0.0,0.0,0.0
1464818249.304994,0.0,0.0,0.0,0.0,0.0,0.0
1464818249.349757,0.0,0.0,0.0,0.0,0.0,0.0
1464818249.4027426,0.0,0.0,0.0,0.0,0.0,0.0
1464818249.452607,0.0,0.0,0.0,0.0,0.0,0.0
1464818249.5051897,0.0,0.0,0.0,0.0,0.0,0.0
1464818249.5500307,0.0,0.0,0.0,0.0,0.0,0.0
1464818249.6029534,0.0,0.0,0.0,0.0,0.0,0.0
1464818249.6525314,0.0,0.0,0.0,0.0,0.0,0.0
1464818249.7051754,0.0,0.0,0.0,0.0,0.0,0.0
1464818249.749733,0.0,0.0,0.0,0.0,0.0,0.0
1464818249.8029099,0.0,0.0,0.0,0.0,0.0,0.0
1464818249.8527057,0.0,0.0,0.0,0.0,0.0,0.0
1464818249.9051104,0.0,0.0,0.0,0.0,0.0,0.0
1464818249.9497285,0.0,0.0,0.0,0.0,0.0,0.0
1464818250.0027993,0.0,0.0,0.0,0.0,0.0,0.0
1464818250.0526783,0.0022000061023049085,0.0,0.0,0.0,0.0,0.0
1464818250.1050944,0.0,0.0,0.0,0.0,0.0,0.0
1464818250.149707,0.0,0.0,0.0,0.0,0.0,0.0
1464818250.2027767,0.0,0.0,0.0,0.0,0.0,0.0
1464818250.2526104,0.0,0.0,0.0,0.0,0.0,0.0
1464818250.3053043,0.0,0.0,0.0,0.0,0.0,0.0
1464818250.3497305,0.0,0.0,0.0,0.0,0.0,0.0
1464818250.402896,0.0,0.0,0.0,0.0,0.0,0.0
1464818250.4526079,0.0,0.0,0.0,0.0,0.0,0.0
1464818250.5051174,0.0,0.0,0.0,0.0,0.0,0.0
1464818250.5498374,0.0,0.0,0.0,0.0,0.0,0.0
1464818250.6027539,0.0,0.0,0.0,0.0,0.0,0.0
1464818250.652643,0.0,0.0,0.0,0.0,0.0,0.0
1464818250.705107,0.0,0.0,0.0,0.0,0.0,0.0
1464818250.7497113,0.0,0.0,0.0,0.0,0.0,0.0
1464818250.8028078,0.0,0.0,0.0,0.0,0.0,0.0
1464818250.8527157,0.0,0.0,0.0,0.0,0.0,0.0
1464818250.9051025,0.0,0.0,0.0,0.0,0.0,0.0
1464818250.949768,0.0,0.0,0.0,0.0,0.0,0.0
1464818251.0028276,0.0,0.0,0.0,0.0,0.0,0.0
1464818251.053308,0.0,0.0,0.0,0.0,0.0,0.0
1464818251.1052496,0.0,0.0,0.0,0.0,0.0,0.0
1464818251.1497371,0.0,0.0,0.0,0.0,0.0,0.0
1464818251.2028973,0.0,0.0,0.0,0.0,0.0,0.0
1464818251.2525072,0.0,0.0,0.0,0.0,0.0,0.0
1464818251.305493,0.0,0.0,0.0,0.0,0.0,0.0
1464818251.3497078,0.0,0.0,0.0,0.0,0.0,0.0
1464818251.4027948,0.0022000061023049085,0.0,0.0,0.0,0.0,0.0
1464818251.4526942,0.0,0.0,0.0,0.0,0.0,0.0
1464818251.5052168,0.0,0.0,0.0,0.0,0.0,0.0
1464818251.549711,0.0,0.0,0.0,0.0,0.0,0.0
1464818251.603035,0.0,0.0,0.0,0.0,0.0,0.0
1464818251.6528304,0.0,0.0,0.0,0.0,0.0,0.0
1464818251.7051291,0.0,0.0,0.0,0.0,0.0,0.0
1464818251.7498105,0.0,0.0,0.0,0.0,0.0,0.0
1464818251.802876,0.0,0.0,0.0,0.0,0.0,0.0
1464818251.8525498,0.0,0.0,0.0,0.0,0.0,0.0
1464818251.9051602,0.0,0.0,0.0,0.0,0.0,0.0
1464818251.9498146,0.0,0.0,0.0,0.0,0.0,0.0
1464818252.0030406,0.0,0.0,0.0,0.0,0.0,0.0
1464818252.0526338,0.0,0.0,0.0,0.0,0.0,0.0
1464818252.105154,0.0,0.0,0.0,0.0,0.0,0.0
1464818252.149844,0.0,0.0,0.0,0.0,0.0,0.0
1464818252.2028394,0.0,0.0,0.0,0.0,0.0,0.0
1464818252.2525697,0.0,0.0,0.0,0.0,0.0,0.0
1464818252.3056874,0.0,0.0,0.0,0.0,0.0,0.0
1464818252.351245,0.0,0.0,0.0,0.0,0.0,0.0
1464818252.4030755,0.0,0.0,0.0,0.0,0.0,0.0
1464818252.4527428,0.0,0.0,0.0,0.0,0.0,0.0
1464818252.5052803,0.0,0.0,0.0,0.0,0.0,0.0
1464818252.5497236,0.0,0.0,0.0,0.0,0.0,0.0
1464818252.6026661,0.0,0.0,0.0,0.0,0.0,0.0
1464818252.6525297,0.0,0.0,0.0,0.0,0.0,0.0
1464818252.7055404,0.0,0.0,0.0,0.0,0.0,0.0
1464818252.749722,0.0,0.0,0.0,0.0,0.0,0.0
1464818252.8027399,0.0,0.0,0.0,0.0,0.0,0.0
1464818252.85274,0.0,0.0,0.0,0.0,0.0,0.0
1464818252.905244,0.0,0.0,0.0,0.0,0.0,0.0
1464818252.949833,0.0,0.0,0.0,0.0,0.0,0.0
1464818253.0029638,0.0,0.0,0.0,0.0,0.0,0.0
1464818253.0526705,0.0022000061023049085,0.0,0.0,0.0,0.0,0.0
1464818253.1052964,0.0,0.0,0.0,0.0,0.0,0.0
1464818253.1497722,0.0,0.0,0.0,0.0,0.0,0.0
1464818253.2028332,0.0,0.0,0.0,0.0,0.0,0.0
